評論者,星等,評論內容
Melody Lin,5,"因為疫情的關係原本要去澳門的旅行取消了
幸好朋友介紹了這間鑫華茶餐廳
距離東門站有一點點走路距離
但一到附近看到大熱天大排長龍的人潮立刻過去排隊
店裡小哥很帥
老闆很煞氣（什麼中二的形容詞）
食物做的跟我在港澳的味道一模一樣
我們點了 餐肉蛋三文治、乾炒豬肉河、凍奶、鹹檸檬雪碧還有楊枝甘露
一喝到凍奶眼淚差點噴出來
就是這個澀又甜的滋味啊！！！
比較可惜是我請他們楊枝甘露先上
原本上菜時整碗冰的，但我留到最後吃所以整個涼掉

很值得一推的餐廳
儘管排隊的人很多但因為翻桌快所以不會排很久
價錢也很公道喔！"
Nina La,5,平價好食，服務客氣有禮。老火湯必喝，每回湯裡會有不同食材變化熬湯。喜歡中蝦粉絲煲、澳門豬扒包、鮮蝦腐皮卷、蘿蔔糕、楊枝甘露。口味不會太油或過鹹，重點：吃完不會口乾。蝦餅跟菠蘿油也不錯，港式炒麵不差，但吃最後會有點油。
XUE XUE,5,19:30才進入店裡，吃得有點趕，但上菜速度非常快，服務人員都非常非常親切，也很熱情推薦菜色，對小朋友也都非常客氣友善。店裡沒有港式風格的裝潢，因為老闆都把力氣放在服務和食物上了吧！口味非常好，快炒的干貝娃娃菜、蝦煲、蝦米煎腸粉超級好吃！超級喜歡&推薦！會再訪店！謝謝你們的用心與服務！
Joanna Fong,5,正宗港式茶餐廳。CP 值高， 鑊氣十足，夥計的正宗港式粗口你在台北很少聽到。身為一個土生土長的香港人，這裡除了食物能給的家鄉味以外，還有老細跟事頭婆的香港style 人情味，真的只有香港人才能滿滿的感受到港人深藏不露的大方與義氣。   好正， 好野！ 🫡🫡
Wen Hsuan Chen,4,來訪了很多次，次次都高朋滿座但翻桌的挺快的，在外頭看一會菜單就輪到位子了。推薦一定要點腸粉，煎的恰恰再沾上店家的特製醬料，也太美味了！但這的腸粉不是放入整條蝦子而是蝦米，看到時別傻眼，因為主要是吃腸粉的功夫所以就不太在意有沒有整尾蝦；乾炒牛河炒得很入味不會有一大坨都沒炒開，每條河粉都有沾到醬汁但又不會太鹹，愛吃辣的朋友可以加辣也是滿夠味；另一個我的心頭好是蘿蔔糕！多麼平凡的餐點但做的好吃沒幾家，首先煎ㄍㄚ恰恰又先贏了，第二可以感覺店家用了很多蘿蔔，可以吃到蘿蔔的甜味有時還吃到一整塊，口感很軟。飯後想來點甜，可以點法蘭西多士，經典菜色也不太有雷，淋上蜂蜜根本是完美，但記得一開始就要點，不要想說吃完鹹的再來點，幾次去都剛好賣到最後一份。所以早點點不然很容易就賣完囉！
檸檬綠,3,"排隊的機制非常亂
也沒有登記都是憑印象
隨機進去😅😅😅😅

選擇性很多。
但是會不斷詢問是否點餐
讓人沒有時間好好看

價格蠻平價
乾炒牛河粉量滿多
味道比較清爽一點
牛肉還可以不會過老"
Saoirse,5,"店家很親切很像在家吃飯的感覺🤣😆

推推法蘭西多士是用炸的很香再淋上附的糖漿熱量滿滿幸福滿滿！豆豉蒸排骨飯肉很嫩很鮮甜調味也不會過重，餐點份量都剛剛好，吃完有飽足感。

想吃茶餐廳🇭🇰來這邊對了👌👌"
Chihong Wang,5,是香港茶餐廳，但味道因應附近師生而調整的比較清淡些。價錢稍微貴些，快追上香港，可能不會太常來
徐喬治,5,"不知道是不是我的錯覺，換店面後服務比以前好很多，這次點了鹹魚雞粒炒飯、蠔油牛肉撈麵、咖喱綜合、XO醬腸粉
鹹魚雞粒炒飯：中規中矩，但個人偏愛鹹魚再鹹一點
蠔油牛肉撈麵：牛肉好吃、撈麵爽口
XO腸粉：腸粉煎得脆脆的，跟很多腸粉不同口感，但是我喜歡的😍

菜單想吃的太多了，個人覺得這家是來到永康街值得一吃再吃的港式茶餐廳👍🏻"
Emily,5,"座無虛席的道地香港茶餐廳
每道菜都不踩雷
今天的老火湯是花旗蔘雞湯真的超好喝👍
干炒牛肉河滿滿的鍋氣 非常推薦！
老闆及每位店員服務態度都超級好！隨時注意客人的需求，並提供協助！
# CP值超高的餐廳
# 美食口袋名單"
Sergio Lee,4,"位在小巷子裡面的一家正統港式茶餐廳，想來的話只推薦搭捷運或是騎機車，晚餐時段來外面已經排了一些人了，但是速度算是很快，所以也沒有排很久就進去吃了，缺點就是兩個人的座位極少，大概率就是跟我一樣要跟其他人併一桌四人桌，但是他們的四人桌又沒有隔板擋住，用餐過程中整個超怪。

扣掉我剛剛說的部分，剩下來的我都還蠻喜歡的，上菜速度非常快、而且餐點又很道地很好吃，我們這次兩個人點了大概四道菜就吃很飽了，我自己最喜歡的是他們的炒時蔬，有加米酒下去炒吃起來真的不一樣，在來就是腐皮捲跟蘿蔔糕也很推，簡單講就是點甚麼菜幾乎不會讓你踩雷。"
david Fu,5,"＞臘味蒸飯
份量比預期的小，配菜簡單僅地瓜、花椰菜
＞鹹魚雞粒炒飯
鹹魚呈細末狀，端看整盤炒飯其實不會發現他，但鹹魚的香氣撲鼻而來，整體調味也恰到好處，不會過鹹過油；雞肉的部分用太白粉水包裹住，使得肉質不因烹調而有變柴的問題，非常推薦喔！
＞鮮肉腐皮卷
外皮十分酥脆，配上店家的甜醬油，好長好吃，必點！

*下回想試試假日才有的 「澳門豬扒包」 ！！"
王柏文,5,"吃過這間好幾次，大概是少數幾家google評分超過4星的港式茶餐廳
真的蠻好吃，都是有水準的，而且態度也不錯
他們的乾炒牛河的河粉咬起來是很Q的，跟一般外面快餐店吃到的不一樣
一般的快餐店的河粉沒有這麼Q彈，而且他們的牛河炒的很香很好吃
蘿蔔糕的話當然也很好吃，用真的蘿蔔絲做的蘿蔔糕，吃的到蘿蔔的香氣，配上他們的醬更好吃
煎腸粉，煎的很酥脆，吃起來有蝦米的香味，配上他們的醬也很好吃很香
法蘭西多士的話我去港式幾乎都會點，把奶油塞到土司裡面，也是蠻好吃的
奶油起士豬排公仔麵，算是我覺得比較普通的一項，吃起來就還好而已
總之還蠻推薦的，幾乎沒有雷的東西，會讓人想回訪"
echo chang,4,每次到/港式餐廳，必點干炒牛河，但炒的好吃的店並不多，鑫華算是炒的好的店。蝦米煎腸粉是我第一次吃到的港點，有點像吃年糕的感覺，還不錯！炒芥蘭一上桌，那抹綠真是賞心悅目，鮮嫩可口！愛店呀！總是不會令人失望的。
手排老司機,4,用餐時間要排隊，不過上菜快翻桌率也蠻快的，室內桌椅都排太擠了，有跟陌生人同桌的感覺。福州燴飯非常好吃，感覺像揚州炒飯當底再拿去做成燴飯，料也很豐富。Xo醬腸粉味道十分新奇，有花生醬的甜味也有Xo醬的鹹味，皮十分Q彈好吃！缺點餡料有點少。蠔油燙青菜不錯吃，但略為油膩，不過港式料理大概都是這種調調～朋友點的豬排車仔麵就有點普通了，豬排處理的蠻乾的且麵的湯頭一般～甜點的之多士也很好吃，浸滿楓糖漿加上奶油跟內餡的花生醬很滿足～另外點的西米露就ㄧ般般囉。整體還算平價好吃！
Porsche Hung,4,餐點不錯吃，環境普普，因為生意好，要拼翻桌率，會一直不停的來收東西，就會感覺好像很急，但生意太好了，就當做單純好吃的店家即可
WanChen Wang,4,"服務態度不錯，送餐、收拾都很迅速，環境寬敞明亮乾淨，用餐下來舒適。

牛肉炒麵吃起來是脆的，不知是不是自己點錯還是吃的方法不對，麵條與印象中的口感和口味不太一樣，不太習慣。

咖哩魚蛋味道地道，滷的很入味。菠蘿油包熱熱的好吃。"
Rebecca Chien,5,新店面座位舒服，餐點好吃😋
Amy,5,餐點味道都很道地！我們點的沒有一個失敗，好吃！店裡有點擁擠但老闆熱情好客，下次去東門會是想再訪的店家！
Eric JJ,5,"食物非常美味、不會太油太重口味。即使人多，上菜速度非常快！
讓我不習慣的是港式餐廳服務員態度非常好、口氣和緩有禮貌，座位寬敞、乾淨又整潔，讓我懷疑來的是香港茶餐廳嗎？
直到我聽到老闆鏗鏘有力的廣東話後，沒錯我來的是入境隨俗但口味依然的香港茶餐廳。大推👍🏻"
NINA JIAN,5,"香港人開的茶餐廳
感覺開好久了 蠻多在地人來吃
也很多觀光客
餐點口味很香港
知多士非常好吃的花生吐司
然後鴛鴦奶茶很有味道 跟港式奶茶也好喝
不會太甜
港式炒麵非常好吃 是黃色的撈麵那種很不錯
點了餐肉公仔麵就是泡麵那種 還可以
口味還可以蠻推的茶餐廳"
EMMA CHIEN,5,過年前來這裡吃一頓好吃的午餐港飲真的是心情超美麗，下午兩點多還是一樣門庭若市，而且服務人員的態度跟服務都非常非常好，帶小孩來他們也會很貼心的給一個成高的椅墊讓他們可以安心的用餐，我今天吃了炒米粉還有蘿蔔糕跟腐皮卷排骨炒麵跟法蘭西多士都很好吃凍檸茶跟奶茶也很棒，有空就可以來品嚐品嚐喔！下次一定會再來的，新年快樂。
Andy Wu,4,餐點平均都不錯因此在評論上找不到集中必點的餐，不過有幾道偏油因此建議搭配奶茶解膩
April Chen,5,東門超好吃超罪惡的香港茶餐廳！剛搬家到新的地點，服務很好，老闆和很多店員都是香港人，上菜速度超快（生意太好，收拾的速度也很快），每次來都會點XO牛肉炒公仔麵160元，牛肉片超大片的，料多好吃。這次來試了沒吃過的窩蛋碎牛肉飯120元，窩蛋有點類似滑蛋的概念，配上牛肉絞肉和大量芥蘭菜，也非常推！另外嘗試了楊枝甘露70元，份量不算大，口味沒有想像中的死甜，芒果酸酸的味道平衡了西米露的甜味。每次來也都忍不住會點多士系列的罪惡吐司，這次吃的是花生奶醬多士60元，花生醬配滿出來煉乳很好吃！
Sally不愛吃麻糬,5,"全部五🌟
餐點：就是那種畢業回香港還是會懷念的味道。乾炒牛河、蔥油雞麵、奶酥包（現在沒有了）、咕嚕肉…
每一位師大港澳人的精神糧食吧！
即便不是港澳人，也都說好吃的店。

服務：雖然講的是國語，服務也有台化。但還是可以找到那種家、熟悉的感覺。尤其是跟老闆/老闆娘熟之後，還會時不時投餵：燙青菜、荷包蛋、小零食等。好有愛💗

氣氛：在這裡很常遇到講白話的人。真的就是感覺回家了！"
BoA Abo,5,"偶然路過進來嚐鮮～大推XO醬蘿蔔糕😋豪好吃（醬雖然有點少但還是好吃啦！搭配老火湯👍🏾
週日午餐1：00來訪，人潮依舊好多，整家店客滿但翻桌率很快，才等了一下下就有位置了
溫馨提醒⚠️店家2：00休息哦！！
很可以再訪的地道港式店家"
Amy Pan,5,"原汁原味的港式茶餐廳，不用去香港也能吃到道地的港味👍
餐廳內乾淨明亮，生意很好，上菜很快，翻桌率高。"
黃玉米,5,以價格來說～餐點很讚，滿道地的。花生奶醬多士很好吃，餐肉蛋炒公仔麵也很推👍👍炒飯也不錯，有火炒的香氣。
Min-Chung Cheng,4,"在地老的茶餐廳，老闆是香港人，因口味道地，店內不時有在台的香港人或香港學生來此用餐。
比較多人點的是揚州炒飯、干炒牛肉河、XO醬牛肉炒公仔麵、老火湯、蘿蔔糕、蝦米煎腸粉、法蘭西多士和招牌奶茶，晚來的話除了限量30碗的老火湯沒有外，炒青菜、三文治和多士也會沒有了。
各式炒粉/麵/飯味道都不錯，務必要再加一點店家自製的辣醬，味道更有層次。
蘿蔔糕是煎的外酥內軟嫩，蝦米煎腸粉的沾醬是花生+芝麻醬，配著吃相當好吃，招牌奶茶很道地的非常香濃。
店家的生意相當好，翻桌也快，從入座、點餐、上菜到最後買單，差不多30分鐘會結束。
外場有8個店員，會隨時注意客人桌上的空盤並隨時收掉，好的是客人離開擦桌子會把玻璃拿起來擦。
仔細想想生意好成這樣買單時卻沒有開發票也有點奇怪，店外貼著紅紙告示之後會搬去永康街48號，期待有更理想的用餐環境。"
陳映妤,4,"餐點很美味
煲湯很特別
牛河好吃
蘿蔔高油了一點
三明治好吃！！
下次還想吃菠蘿油
雞粒炒麵
煎腸粉"
Sandra Chan,5,😍🥹🥰 瞬間感覺人回了香港，老闆們努力不懈的精神很有感染力！稍微排隊是很值得的，無論是飯、河粉、多士，來這試試超級無敵正的正港餐就對了 🙌🏼 謝謝～～～ …
Mina Cheng,5,"這間店就是要推 因為一來就一直吃 來不及照相
建議第一次來的話點套餐 除了套餐 推XO醬蘿蔔糕 牛肉三文治 法蘭西多士 人多會需要跟別人併桌"
Car Dot,5,"店面非常乾淨
餐點很美味
店員也超親切
店裡面很安靜"
余穎,5,剛進門時還有兩三桌空桌，下一秒立馬坐滿，覺得好險早一步進門🤣。點了鹹魚雞粒炒飯，牛肉炒泡麵(加辣更好吃)，咖哩綜合(鴨血好紮實，蘿蔔有入味)，法蘭西多士(我喜歡不加蜂蜜的吃)，價位稍高，但尚可接受。 …
blackbubu,2,"空間環境蠻乾淨的，流動率也很快，但人多可能需要併桌喔！
可能今天點的都不太合口味，咖喱魚蛋味道沒有很入味，鴨血會澀澀的。排骨蒸飯，排骨不錯，柔嫩味道夠但飯不太ok。"
Shinru Yuan,5,我們坐捷運在東門下車，走了約10分鐘才抵達餐廳，不過很值得，很道地的香港茶餐廳味道，牛河和豆豉排骨飯都好好吃，法蘭西多士一定要點，雖然吃完感覺很罪惡（熱量很高😅）但太好吃了啦！ 蝦米煎腸粉則不推薦，楊枝甘露還行。 …
Joy Lee,5,"服務態度好，即使店裏人潮洶湧，仍然不會給人不舒服的感覺。
東西好吃，尤其推蘿蔔糕，蘿蔔糕帶著Q勁，蠻讓我意外的，淺薄的辣味不刺激，跟醬料和蘿蔔糕的焦香相得益彰，很好吃。
炒青菜清爽不油，不會太鹹，還能吃得到青菜的甜味。 …"
林霈霈,5,一個注重環境衛生清潔，保持很乾淨整潔的餐廳，桌椅都會消毒，地也掃的乾淨👍🏻👍🏻 …
林怡萱,5,"都蠻好吃的！
不過菠蘿油就蠻普通的
人很多，位子也多，但就會覺得好擠🤣 …"
